feature_id,epic,user_story,expected_behavior,implementation_status,source,suggested_test,test_status,error,fix_status,retest_status
cli_start_play,Interactive CLI,"As a player I start a local CLI game","No subcommand runs play mode, prints the game header/help, starts Match #1, renders state, and prompts for input",implemented,"cmd/durak/main.go; internal/adapters/cli/game.go","go test ./cmd/durak ./internal/adapters/cli",passed,,not_needed,passed
cli_config_seed_rules,Interactive CLI,"As a player I want reproducible deals and supported rules","-seed creates deterministic deals; -rules currently accepts default and rejects unknown presets",implemented,"cmd/durak/main.go; cmd/durak/config.go; internal/app/match_config.go","go test ./cmd/durak ./internal/app",passed,,not_needed,passed
cli_config_seats_human,Interactive CLI,"As a player I choose player count and my seat","-seats configures 2..6 seats; -human-seat must be inside 0..seats-1; exactly one local human is supported",implemented,"cmd/durak/main.go; internal/app/match_config_validation.go","go test ./cmd/durak ./internal/app",passed,,not_needed,passed
cli_config_controllers,Interactive CLI,"As a player I configure controllers for non-human seats","-bot sets the default controller and -p0..-p5 override seats; supported controllers are simple, random, heuristic, ai-raw-mock, ai-raw-exec, ai-openai",implemented,"cmd/durak/controllers.go; README.md","go test ./cmd/durak ./internal/adapters/bot ./internal/adapters/ai",passed,,not_needed,passed
cli_state_render,Interactive CLI,"As a player I see the current position and legal moves","CLI renders phase, seats, trump, stock, discard, hand sizes, table, hand, and numbered legal actions",implemented,"internal/adapters/cli/render.go","go test ./internal/adapters/cli",passed,,not_needed,passed
cmd_number,Interactive CLI,"As a player I choose a listed move by number","Input 1..len(legal actions) selects the corresponding legal action; invalid/out-of-range numbers do not mutate the match",implemented,"internal/adapters/textcmd/parse.go","go test ./internal/adapters/textcmd",passed,,not_needed,passed
cmd_attack_a,Interactive CLI,"As the attacker I attack with a card","a/attack with a hand index or card code selects a legal attack action",implemented,"internal/adapters/textcmd/parse.go; internal/domain/match_actions.go","go test ./internal/adapters/textcmd ./internal/domain",passed,,not_needed,passed
cmd_defend_d,Interactive CLI,"As the defender I defend a specific attack","d/defend selects a legal defense card, optionally filtered by one-based attack number",implemented,"internal/adapters/textcmd/parse.go; internal/domain/match_actions.go","go test ./internal/adapters/textcmd ./internal/domain",passed,,not_needed,passed
cmd_throw_pass_tr,Interactive CLI,"As an eligible seat I throw in, pass, or transfer","throw/th/add selects throw-in, pass declines or falls back to done, and tr/transfer selects legal transfer",implemented,"internal/adapters/textcmd/parse.go; internal/domain/throw_in.go","go test ./internal/adapters/textcmd ./internal/domain",passed,,not_needed,passed
cmd_take_done,Interactive CLI,"As a defender or attacker I take cards or finish a stage","take/t selects take; done/finish/f selects FinishDefense or FinishTake when legal",implemented,"internal/adapters/textcmd/parse.go; internal/domain/match_actions.go","go test ./internal/adapters/textcmd ./internal/domain",passed,,not_needed,passed
cmd_concede,Interactive CLI,"As a player I concede the current match","concede/surrender/ff completes the match with the acting seat as loser and renders the result",implemented,"internal/adapters/textcmd/parse.go; internal/adapters/cli/game.go; internal/domain/match.go","go test ./internal/adapters/textcmd ./internal/adapters/cli ./internal/domain",passed,,not_needed,passed
cmd_help_quit,Interactive CLI,"As a player I ask for help or exit","help/h/? prints help; quit/q/exit prints Bye and exits the loop",implemented,"internal/adapters/textcmd/parse.go; internal/adapters/cli/game.go; internal/adapters/cli/render.go","go test ./internal/adapters/textcmd ./internal/adapters/cli",passed,,not_needed,passed
cmd_next_series,Interactive CLI,"As a player I start another match after a result","After completion, Enter or next starts the next match, quit exits, help prints next-match help, and invalid input is rejected",implemented,"internal/adapters/cli/game.go; internal/app/series.go","go test ./internal/adapters/cli ./internal/app",passed,,not_needed,passed
controller_turns,Interactive CLI,"As a human I wait while bots take their turns","When the human has no legal actions, CLI chooses the active controller seat by phase, applies controller decisions through validation, and prints controller actions",implemented,"internal/adapters/cli/game.go; internal/app/player.go","go test ./internal/adapters/cli ./internal/app",passed,,not_needed,passed
arena_headless_series,Headless CLI,"As a developer I run bot matches without UI","arena validates matches, seed, max actions, seats, rules, and controllers, runs SeriesRunner, and prints summary/results",implemented,"cmd/durak/arena.go; internal/app/runner.go","go test ./cmd/durak ./internal/app",passed,,not_needed,passed
arena_public_jsonl_export,Headless CLI,"As a developer I export public headless events","arena -event-log appends public JSONL events with base, base-2 match ids and private file permissions",implemented,"cmd/durak/arena.go; internal/adapters/storage/jsonl_event_store.go","go test ./cmd/durak ./internal/adapters/storage",passed,,not_needed,passed
arena_sqlite_history_write,Headless CLI,"As a developer I persist arena matches to SQLite","arena -db migrates SQLite and records config, internal events, public events, metadata, and completed summaries transactionally",implemented,"cmd/durak/arena.go; internal/adapters/storage/sqlite_store.go; internal/adapters/storage/sqlite_write.go","go test ./cmd/durak ./internal/adapters/storage",passed,,not_needed,passed
arena_eval_summary,Headless CLI,"As a developer I print move-quality aggregates for arena runs","arena -eval wraps decisions, ranks accepted actions, and prints aggregate quality/loss counters",implemented,"cmd/durak/arena_evaluation.go; internal/app/evaluation","go test ./cmd/durak ./internal/app/evaluation",passed,,not_needed,passed
history_from_jsonl,Headless CLI,"As a user I list matches from a public JSONL log","history -event-log groups events by match, builds summaries, prints rows, handles empty/missing logs, and rejects mixed sources",implemented,"cmd/durak/history.go; internal/app/history.go","go test ./cmd/durak ./internal/app",passed,,not_needed,passed
history_from_sqlite,Headless CLI,"As a user I list completed matches from SQLite","history -db opens/migrates DB, reads match summaries ordered by projection time, and prints rows or no matches",implemented,"cmd/durak/history.go; internal/adapters/storage/sqlite_read.go; internal/adapters/storage/sqlite_summary.go","go test ./cmd/durak ./internal/adapters/storage",passed,,not_needed,passed
replay_from_sqlite,Headless CLI,"As a developer I verify a stored match reconstructs correctly","replay -db -match-id replays internal events with config snapshot, verifies emitted events, and prints final replay summary",implemented,"cmd/durak/replay.go; internal/app/replay.go; internal/app/history_store.go","go test ./cmd/durak ./internal/app",passed,,not_needed,passed
analyze_from_sqlite,Headless CLI,"As a developer I inspect visible decision quality after a match","analyze -db -match-id replays internal events, builds decision contexts before actions, prints aggregate analysis and worst moves respecting limit",implemented,"cmd/durak/analyze.go; internal/app/evaluation/history.go; internal/app/evaluation/history_replay.go","go test ./cmd/durak ./internal/app/evaluation",passed,,not_needed,passed
rules_default_config,Core Rules,"As a player I start with default Durak house rules","Default rules use a 36-card deck, 2..6 players, six-card hands, no ace trump indicator, transfers enabled, lead-first throw-in, and all-eligible pass close",implemented,"internal/domain/rules.go; internal/app/match_config_defaults.go","go test ./internal/domain ./internal/app",passed,,not_needed,passed
config_validation,Core Rules,"As a config user I get explicit rejection for unsupported future variants","Validation accepts only implemented presets/options and rejects unsupported timing, cheating, deck, direction, and rule variants",implemented,"internal/app/match_config_validation.go; internal/app/match_config.go","go test ./internal/app",passed,,not_needed,passed
deal_start,Core Rules,"As a player I receive a valid initial deal and first attacker","Deal is round-robin, stock remains after hands, trump is selected from stock bottom or last dealt card, invalid setup redeals, and first attacker is lowest trump or seeded random",implemented,"internal/domain/deal.go; internal/domain/random.go","go test ./internal/domain",passed,,not_needed,passed
seat_view_privacy,Core Rules,"As a player or bot I see only public state plus my own hand","SeatView exposes public state; DecisionContext adds current hand, legal actions, and public memory; returned slices are copies",implemented,"internal/app/view.go; internal/app/session.go; internal/app/player.go","go test ./internal/app ./internal/adapters/ai",passed,,not_needed,passed
legal_actions_contract,Core Rules,"As a controller I can choose only a legal action","Legal actions use the same validation path as ApplyAction and session/runner reject mutated or unavailable actions",implemented,"internal/domain/legal_actions.go; internal/domain/action.go; internal/app/session.go; internal/app/player.go","go test ./internal/domain ./internal/app",passed,,not_needed,passed
attack_defense,Core Rules,"As attacker and defender I play a basic battle","Only attacker attacks, only defender defends, defense must beat the attack, and the phase opens throw-in after all attacks are covered",implemented,"internal/domain/match_actions.go; internal/domain/card_rules.go; internal/domain/match_validation.go","go test ./internal/domain",passed,,not_needed,passed
transfer,Core Rules,"As defender I transfer when rules allow it","Transfer is legal only in defense with same rank on table, before defense, and moves defense to the next active seat",implemented,"internal/domain/match_actions.go; internal/domain/match_validation.go","go test ./internal/domain",passed,,not_needed,passed
throw_in_close,Core Rules,"As eligible attackers I throw in and close the window","Throw-in honors eligible seats, table ranks, lead-first opening, pass tracking, and attack limits; finish is available only when the window can close",implemented,"internal/domain/throw_in.go; internal/domain/match_actions.go; internal/domain/match_validation.go","go test ./internal/domain ./internal/app",passed,,not_needed,passed
take_refill_result,Core Rules,"As players we resolve a defended or taken round","FinishDefense discards table cards, FinishTake gives them to defender, refill order is applied, roles advance, and match completion/draw is detected",implemented,"internal/domain/match_actions.go; internal/domain/match.go","go test ./internal/domain",passed,,not_needed,passed
concede_core,Core Rules,"As a player/controller I can concede","Concede completes the match, sets loser/winner, emits concede and match-ended events, and respects TurnContext CanConcede",implemented,"internal/domain/match.go; internal/app/player.go; internal/app/session.go","go test ./internal/domain ./internal/app",passed,,not_needed,passed
series_runner,Core Rules,"As a headless user I run consecutive bot matches","Series uses canonical seats, previous loser affects next first attacker, runner requires controllers, polls active seats, and enforces max actions",implemented,"internal/app/series.go; internal/app/runner.go","go test ./internal/app",passed,,not_needed,passed
bot_controllers,Bots AI,"As a user I choose simple, random, or heuristic controllers","Simple is deterministic, random chooses indexed legal actions, heuristic ranks legal actions while remaining inside the controller contract",implemented,"internal/adapters/bot/controller.go; internal/adapters/bot/simple.go; internal/adapters/bot/random.go; internal/adapters/bot/heuristic.go","go test ./internal/adapters/bot",passed,,not_needed,passed
ai_raw_command,Bots AI,"As an AI player I receive a turn prompt and return a terminal command","Raw controller builds visible prompt with private hand/legal commands, rejects non-player commands, retries invalid commands, and can trace attempts",implemented,"internal/adapters/ai/client.go; internal/adapters/ai/raw_command.go; internal/adapters/ai/trace.go","go test ./internal/adapters/ai",passed,,not_needed,passed
ai_provider_interfaces,Bots AI,"As an AI adapter user I connect subprocess or OpenAI-compatible providers","Subprocess reads JSON prompt/stdout command; OpenAI-compatible calls chat completions with configured model/base/key and records private JSONL traces",implemented,"internal/adapters/ai/subprocess.go; internal/adapters/ai/openai_compatible.go; internal/adapters/ai/jsonl_trace_sink.go","go test ./internal/adapters/ai",passed,,not_needed,passed
